date,pluie,delta,skylight,gt_48hr
2015-03-01 07:43:06.000,0,0 days 00:05:02,DAY,False
2015-03-01 07:48:06.000,0,0 days 00:05:00,DAY,False
2015-03-01 07:53:07.000,0,0 days 00:05:01,DAY,False
2015-03-01 07:58:09.000,0,0 days 00:05:02,DAY,False
2015-03-01 08:03:09.000,0,0 days 00:05:00,DAY,False
2015-03-01 08:08:10.000,0,0 days 00:05:01,DAY,False
2015-03-01 08:13:12.000,0,0 days 00:05:02,DAY,False
2015-03-01 08:18:12.000,0,0 days 00:05:00,DAY,False
2015-03-01 08:23:13.000,0,0 days 00:05:01,DAY,False
2015-03-01 08:28:14.000,0,0 days 00:05:01,DAY,False
2015-03-01 08:33:14.000,0,0 days 00:05:00,DAY,False
2015-03-01 08:38:15.000,0,0 days 00:05:01,DAY,False
2015-03-01 08:43:15.000,0,0 days 00:05:00,DAY,False
2015-03-01 08:48:15.000,0,0 days 00:05:00,DAY,False
2015-03-01 08:53:16.000,0,0 days 00:05:01,DAY,False
2015-03-01 08:58:16.000,0,0 days 00:05:00,DAY,False
2015-03-01 09:03:18.000,0,0 days 00:05:02,DAY,False
2015-03-01 09:08:18.000,0,0 days 00:05:00,DAY,False
2015-03-01 09:13:20.000,0,0 days 00:05:02,DAY,False
2015-03-01 09:18:22.000,0,0 days 00:05:02,DAY,False
2015-03-01 09:23:23.000,0,0 days 00:05:01,DAY,False
2015-03-01 09:28:24.000,0,0 days 00:05:01,DAY,False
2015-03-01 09:33:24.000,0,0 days 00:05:00,DAY,False
2015-03-01 09:38:26.000,0,0 days 00:05:02,DAY,False
2015-03-01 09:43:26.000,0,0 days 00:05:00,DAY,False
2015-03-01 09:48:28.000,0,0 days 00:05:02,DAY,False
2015-03-01 09:53:29.000,0,0 days 00:05:01,DAY,False
2015-03-01 09:58:30.000,0,0 days 00:05:01,DAY,False
2015-03-01 10:03:31.000,0,0 days 00:05:01,DAY,False
2015-03-01 10:08:32.000,0,0 days 00:05:01,DAY,False
2015-03-01 10:13:33.000,0,0 days 00:05:01,DAY,False
2015-03-01 10:18:34.000,0,0 days 00:05:01,DAY,False
2015-03-01 10:23:35.000,0,0 days 00:05:01,DAY,False
2015-03-01 10:28:36.000,0,0 days 00:05:01,DAY,False
2015-03-01 10:33:36.000,0,0 days 00:05:00,DAY,False
2015-03-01 10:38:37.000,0,0 days 00:05:01,DAY,False
2015-03-01 10:43:38.000,0,0 days 00:05:01,DAY,False
2015-03-01 10:48:39.000,0,0 days 00:05:01,DAY,False
2015-03-01 10:53:40.000,0,0 days 00:05:01,DAY,False
2015-03-01 10:58:41.000,0,0 days 00:05:01,DAY,False
2015-03-01 11:03:42.000,0,0 days 00:05:01,DAY,False
2015-03-01 11:08:43.000,0,0 days 00:05:01,DAY,False
2015-03-01 11:13:44.000,0,0 days 00:05:01,DAY,False
2015-03-01 11:18:45.000,0,0 days 00:05:01,DAY,False
2015-03-01 11:23:45.000,0,0 days 00:05:00,DAY,False
2015-03-01 11:28:46.000,0,0 days 00:05:01,DAY,False
2015-03-01 11:33:47.000,0,0 days 00:05:01,DAY,False
2015-03-01 11:38:49.000,0,0 days 00:05:02,DAY,False
2015-03-01 11:43:49.000,0,0 days 00:05:00,DAY,False
2015-03-01 11:48:49.000,0,0 days 00:05:00,DAY,False
2015-03-01 11:53:50.000,0,0 days 00:05:01,DAY,False
2015-03-01 11:58:52.000,0,0 days 00:05:02,DAY,False
2015-03-01 12:03:53.000,0,0 days 00:05:01,DAY,False
2015-03-01 12:08:55.000,0,0 days 00:05:02,DAY,False
2015-03-01 12:13:55.000,0,0 days 00:05:00,DAY,False
2015-03-01 12:18:55.000,0,0 days 00:05:00,DAY,False
2015-03-01 12:23:57.000,0,0 days 00:05:02,DAY,False
2015-03-01 12:28:59.000,0,0 days 00:05:02,DAY,False
2015-03-01 12:34:00.000,0,0 days 00:05:01,DAY,False
2015-03-01 12:39:00.000,0,0 days 00:05:00,DAY,False
2015-03-01 12:44:01.000,0,0 days 00:05:01,DAY,False
2015-03-01 12:49:01.000,0,0 days 00:05:00,DAY,False
2015-03-01 12:54:02.000,0,0 days 00:05:01,DAY,False
2015-03-01 12:59:04.000,0,0 days 00:05:02,DAY,False
2015-03-01 13:04:05.000,0,0 days 00:05:01,DAY,False
2015-03-01 13:09:06.000,0,0 days 00:05:01,DAY,False
2015-03-01 13:14:07.000,0,0 days 00:05:01,DAY,False
2015-03-01 13:19:08.000,0,0 days 00:05:01,DAY,False
2015-03-01 13:24:09.000,0,0 days 00:05:01,DAY,False
